link,type_of_food,title,description,author_name,cook_time,num_of_people,calories,num_of_ingredients,ingredients,step,note,post_date
https://vncooking.com/cong-thuc/tom-hap-lien-hoa-559,Món chính,Tôm hấp liên hoa,"Tôm hấp liên hoa không chỉ có hình thức bắt mắt mà còn mang đến một hương vị tươi ngon, khó cưỡng.",,30phút,2,,3,"['tôm thẻ 200 gam', 'giò sống 500 gam', 'Hành tây 1 củ']","['Bước 1: Sơ chế nguyên liệu Tôm mua về bóc vỏ, bỏ chỉ lưng, rửa sạch và băm nhỏ. Cho tôm băm vào tô cùng 50g giò sống, 1/2 muỗng cà phê hạt nêm, 1/2 muỗng cà phê bột ngọt, một xíu muối và tiêu xay. Trộn thật đều cho tôm ngấm gia vị. Hành tây bóc vỏ, rửa sạch, cắt thành múi cau. Bạn hãy cắt sao cho các múi hành tây đều nhau để món ăn trông đẹp hơn khi chế biến nhé!', 'Bước 2: Hấp tôm Bạn cho tôm đã ướp gia vị vào dĩa, tạo hình tròn cho đẹp. Xếp các múi hành tây vào sao cho trông như những cánh hoa sen. Cho dĩa tôm vào xửng hấp khoảng 15 phút là chín.', 'Bước 3: Hầm nước dùng Trong thời gian chờ tôm chín, bạn hãy rửa sạch xương gà. Trần sơ xương qua nước sôi cho sạch. Sau đó, hầm xương với nước và chút muối.', 'Bước 4: Thành phẩm Vậy là món tôm hấp liên hoa của bạn đã hoàn thành rồi đấy. Bạn hãy gấp dĩa tôm ra, chan thêm nước dùng gà đã ninh lên trên. Cuối cùng rắc thêm ít hành lá cho đẹp và thưởng thức thôi nào.', 'Bước 5: Thưởng thức Món tôm hấp liên hoa trông như một đóa sen trắng đang nở rộ. Thịt tôm ngọt, giòn dai, kết hợp cùng giò sống càng thêm đậm đà. Nước dùng gà ngọt thanh càng làm món ăn thêm phần hấp dẫn. Bạn hãy thưởng thức món ăn ngay khi còn nóng nhé!']",[],"Thứ năm, 19/10/2023, 20:08 (GMT+7)"
https://vncooking.com/cong-thuc/tra-lipton-pha-voi-7up-558,Thức uống,Trà Lipton pha với 7up,"Đã bao giờ bạn thử món nước giải khát được làm từ trà Lipton và 7up chưa? Khi thưởng thức, chắc chắn bạn sẽ ngạc nhiên trước hương vị thơm ngon, mát lạnh của thức uống này đấy",,15phút,2,,2,"['trà Lipton 1 túi', '7up 1 chai']","['Bước 1: Pha chế trà Lipton với 7up Đầu tiên, bạn hãy lấy một túi trà Lipton và cho vào chai nước 7Up. Bạn úp ngược chai 7up vào một cái cốc để trà dễ ngấm nước hơn. Bạn chỉ cần chờ khoảng 10 phút là sẽ thấy nước 7up chuyển sang màu vàng.', 'Bước 2: Thành phẩm Chỉ với những bước đơn giản vậy thôi là món nước Lipton pha 7up của bạn đã hoàn thành. Bây giờ, bạn hãy cho nước đá và một lát chanh vào ly, rót nước trà Lipton pha 7up vào và thưởng thức thôi.', 'Bước 3: Thưởng thức Khi thưởng thức bạn sẽ thấy thức uống rất thơm vị trà Lipton kết hợp cùng hương 7up chanh chua chua, ngot ngọt rất hấp dẫn. Thức uống mát lạnh, sảng khoái này rất thích hợp cho những ngày hè nóng nực. thưởng thức ngay bạn nhé!']",[],"Thứ hai, 16/10/2023, 20:11 (GMT+7)"
https://vncooking.com/cong-thuc/cach-lam-kem-sau-rieng-thom-ngon-nhanh-cap-toc-khong-can-tu-lanh-557,Bánh và bánh ngọt,Cách làm kem sầu riêng thơm ngon nhanh cấp tốc không cần tủ lạnh,Bạn đã biết cách làm kem sầu riêng thơm ngon giải cứu ngày nắng nóng gay gắt mà không cần đến tủ lạnh chưa? Cùng tìm hiểu thật kỹ trong bài viết dưới đây nhé!,,30phút,2,,4,"['Thịt sầu riêng 100 gam', 'Sữa đặc 50 gam', 'Sữa tươi không đường 100 ml', 'Whipping Cream 100 ml']","['Bước 1: Sơ chế nguyên liệu Đầu tiên, bạn cho phần múi sầu riêng cùng với sữa tươi và sữa đặc vào trong cối xay thật mịn. Sau đó, bạn cho 100ml whipping cream vào một chiếc tô và bắt đầu đánh bông lên.', 'Bước 2: Làm kem sầu riêng Cho phần whipping cream đánh bông vào hỗn hợp sầu riêng và sữa vừa xay rồi trộn đều. Tiếp đó, bạn chuẩn bị một thau đá lớn, rắc 500g muối hột vào thau đá rồi đổ một ít nước lọc vào. Sau đó, bạn đặt phần hỗn hợp sầu riêng kem sữa đã trộn vào thau đá rồi lắc nhẹ và khuấy tới khi kem đặc lại. Muối hột có công dụng làm giảm nhiệt độ của đá giúp hỗn hợp kem có thể đông lại nhanh hơn.', 'Bước 3: Thành phẩm Chỉ mất vài phút với các nguyên liệu đơn giản và dễ tìm mà bạn đã có cho mình một ly kem sầu riêng thơm ngon mát lạnh. Đặc biệt, cách làm này còn không cần phải dùng đến tủ lạnh hay bất kỳ máy làm kem nào. Mang đến sự tiện lợi và tiết kiệm trang thiết bị hiệu quả.']",[],"Chủ nhật, 15/10/2023, 22:15 (GMT+7)"
https://vncooking.com/cong-thuc/cach-lam-bun-ga-la-e-ngot-thom-chua-thanh-cho-ca-gia-dinh-556,Món chính,"Cách làm bún gà lá é ngọt thơm, chua thanh cho cả gia đình","xin giới thiệu đến bạn món bún gà lá é với hương vị thơm ngon, độc đáo, lạ miệng để đãi những người thân yêu thưởng thức.",,45phút,2,,3,"['thịt gà ta 800 gam', 'lá é 400 gam', 'Bún 300 gam']","['Bước 1: Sơ chế nguyên liệu Thịt gà mua về bạn rửa sạch rồi chặt gà thành những miếng nhỏ vừa ăn. Tiếp đến, bạn ướp thịt gà với 1 muỗng cà phê muối, 1 muỗng cà phê nước mắm, 1 muỗng canh hạt nêm, 2 muỗng cà phê đường phèn rồi trộn đều. Để thịt gà trong ngăn mát tủ lạnh khoảng 10 - 15 phút cho ngấm gia vị. Lá é mua về bạn bỏ gốc già cứng hay những lá bị dập nát rồi rửa thật kĩ với nước sạch, vớt ra rổ, để ráo.', 'Bước 2: Nấu nước hầm gà Bạn tiến hành băm nhỏ 2 củ hành tím rồi bắc nồi lên bếp, thêm 1 muỗng cà phê dầu ăn, dầu nóng thì cho hành vào phi thơm. Cho tiếp thịt gà đã ướp vào đảo đều trong khoảng 3 phút đến khi thịt hơi săn lại. Tiếp đến bạn cho thêm 1.5 lít nước vào nồi và đậy nắp đun sôi, hầm gà khoảng 15 phút cho tới khi gà chín mềm.', 'Bước 3: Thành phẩm Bạn chuẩn bị một chiếc tô rồi xếp bún vào dưới cùng, vớt thịt gà ra xếp lên trên. Kế đến bạn nêm nếm lại nồi nước hầm gà cho phù hợp khẩu vị gia đình. Sau đó bạn nhúng lá é vào nồi nước khoảng 30 giây rồi vớt ra tô, chan thêm nước dùng là có thể thưởng thức rồi.', 'Bước 4: Thưởng thức Món bún gà lá é khi hoàn thành hấp dẫn với màu vàng bắt mắt của thịt gà, mùi thơm nứt của lá é cùng các loại gia vị. Khi ăn, bạn sẽ cảm nhận được phần nước dùng đậm đà, ngọt thanh từ thịt gà, cắn một miếng thấy gà săn chắc, ngọt thịt, kết hợp với vị lá é thơm thơm cay cay.']",[],"Chủ nhật, 8/10/2023, 20:32 (GMT+7)"
https://vncooking.com/cong-thuc/khoai-tay-nghien-pho-mai-cap-toc-bang-snack-khoai-tay-555,Bánh và bánh ngọt,Khoai tây nghiền phô mai cấp tốc bằng snack khoai tây,Bạn có thể tự làm khoai tây nghiền phô mai tại nhà chỉ với 3 nguyên liệu đơn giản,,15phút,2,,2,"['Snack khoai tây 1 ống', 'Sữa tươi không đường 1 hộp']","['Bước 1: Sơ chế nguyên liệu Đầu tiên, bạn hãy cho snack khoai tây vào túi zip, dùng chày giã cho bánh nát ra. Phô mai mozzarella cắt nhỏ. Đun nóng sữa tươi không đường.', 'Bước 2: Làm khoai tây nghiền Bạn hãy cho sữa tươi không đường đun nóng vào phần phô mai đã cắt nhỏ, dùng muỗng khuấy đều cho phô mai tan ra hết. Sau đó, cho phần snack khoai tây nghiền nát vào, tiếp tục trộn đều. Bạn hãy cho từ từ phần bánh khoai tây vào để điều chỉnh được độ đặc mong muốn.', 'Bước 3: Thành phẩm Vậy là bạn đã hoàn thành món khoai tây nghiền phô mai rồi đấy. Bạn hãy thưởng thức ngay món ăn ngon này nhé. Phô mai mềm thơm, kéo thành sợi, kết hợp với snack tây đậm đà rất hấp dẫn.']",[],"Thứ năm, 5/10/2023, 22:08 (GMT+7)"
https://vncooking.com/cong-thuc/banh-flan-duong-thot-not-mem-min-thom-lung-554,Bánh và bánh ngọt,"Bánh flan đường thốt nốt mềm mịn, thơm lừng","Tận hưởng hương vị bánh flan đường thốt nốt mềm mịn, thơm lừng tại nhà với cách làm đơn giản và các bước thực hiện dễ dàng ngay trong bài viết này nhé!",,30phút,2,,4,"['Đường thốt nốt 100 gam', 'Trứng gà 3 quả', 'Đường 40 gam', 'Sữa tươi 200 ml']","['Bước 1: Làm caramen Chuẩn bị một nồi nhỏ, đun nóng 100g đường thốt nốt cắt nhuyễn cùng với 25ml nước, đến khi nước vừa sôi thì cho thêm 25ml nước và khuấy đều. Khi đường tan chảy và hỗn hợp đạt được màu vàng óng, đổ nhanh chóng vào khuôn bánh flan. Lưu ý cẩn thận vì đường nóng có thể gây bỏng.', 'Bước 2: Làm hỗn hợp trứng sữa Chuẩn bị một tô lớn, đánh tan 3 quả trứng gà. Sau đó, thêm vào 40g đường, 200ml sữa tươi và một ít vanilla, khuấy đều cho đến khi hỗn hợp trở nên mịn và đường tan hoàn toàn. Lọc hỗn hợp trứng, đường, và sữa qua một cái rây mịn để loại bỏ bọt và các cục lớn. Điều này giúp bánh flan mềm mịn hơn. Sau đó đổ hỗn hợp trứng đã lọc vào khuôn bánh flan có đường thốt nốt đã đông. Đậy kín khuôn lại.', 'Bước 3: Hấp bánh Mang nồi hấp lên bếp và đặt khuôn bánh flan vào nồi. Đậy nắp và hấp bánh flan trong khoảng 30 - 40 phút hoặc cho đến khi bánh chín. Kiểm tra bánh flan bằng cách chọc một que tăm vào giữa. Nếu que tre ra sạch, bánh đã chín. Nếu que tre dính bánh, hấp thêm một ít thời gian. Khi bánh flan đã chín, tắt bếp và để bánh nguội tự nhiên trong khuôn. Sau đó, đặt bánh flan vào tủ lạnh trong ít nhất 2 giờ hoặc qua đêm để đông lại và tạo độ mềm mịn cho bánh.', 'Bước 4: Thành phẩm Bánh flan đường thốt nốt sẽ mang đến vị ngọt mát tự nhiên từ đường thốt nốt hòa quyện hoàn hảo với vị béo mềm mại của trứng và sữa tươi, tạo ra một sự cân bằng và hài hòa trong khẩu vị. Đây chắc chắn sẽ là món ăn tráng miệng kích thích vị giác dành cho cả gia đình mỗi dịp cuối tuần.']",[],"Thứ tư, 4/10/2023, 23:27 (GMT+7)"
https://vncooking.com/cong-thuc/banh-bao-bo-xanh-muot-mem-thom-beo-ngay-553,Bánh và bánh ngọt,"Bánh bao bơ xanh mướt, mềm thơm béo ngậy","Bánh bao bơ vừa thơm ngon vừa đẹp mắt sẽ là món ăn không thể bỏ qua, cùng tìm hiểu cách làm bánh bao bơ xanh mướt và béo ngậy nhé.",,45phút,2,,1,['Trái bơ 140 gam'],"['Bước 1: Làm nhân bánh Đầu tiên, bạn cho lần lượt 140g bơ cùng với 35ml sữa tươi không đường vào máy xay thật nhuyễn mịn. Tiếp theo, bạn bắc chảo lên bếp và cho vào chảo 100g sữa đặc, 50g bơ nhạt, 125g bơ đã xay nhuyễn, 2 giọt màu thực phẩm màu xanh dứa và khuấy thật đều cho đến khi có màu xanh lá non.Sau đó bạn hòa tan 3g bột bắp với 20ml nước lọc và cho vào chảo, đảo đều trong lửa nhỏ đến khi hỗn hợp đồng nhất là được. Cuối cùng, bạn chia thành từng phần nhỏ khoảng 20 - 30g một phần và để trong ngăn đá khoảng 3 tiếng.', 'Bước 2: Làm vỏ bánh Bạn chuẩn bị một cái tô thủy tinh và cho vào tô các nguyên liệu lần lượt là 3g men khô, 80ml nước lọc, 90g sữa đặc, 30g dầu ăn, 1 lòng trắng trứng gà, 340g bột mì số 8, 4g bột nở, 50g bơ xay nhuyễn ban đầu, 2 giọt màu thực phẩm màu xanh dứa và trộn đều đến khi thành 1 khối bột thì dùng nhồi bằng máy trong 8 - 10 phút.Sau đó, bạn bọc màng thực phẩm và cho bột nghỉ 10 phút.', 'Bước 3: Hấp bánh Sau khi ủ bột bánh được 10 phút, bạn lấy bột ra, chia thành từng phần nhỏ sao cho không quá mỏng bằng cách cán bột dẹp, cuộn lại, vo tròn và nhấn dẹp ra.Tiếp theo, bạn cho nhân vào giữa, túm lại, miết thật kỹ không để hở và đặt trên giấy nến. Sau đó, bạn để vào nồi và đậy nắp lại ủ từ 30 - 50 phút. Khi ủ xong thì bạn tiến hành hấp bánh trong vòng 8 phút, bạn nên để khăn lên miệng nồi và đậy nắp để tránh nước đọng trên bánh.', 'Bước 4: Thành phẩm Bánh bao bơ xanh thơm ngon, hấp dẫn với phần vỏ bánh mềm mịn, nhân chảy có sữa đặc ngọt béo không bị gắt. Bạn có thể trang trí thêm một số hình vẽ lên bánh để món ăn đặc sắc hơn.']",[],"Thứ ba, 3/10/2023, 20:51 (GMT+7)"
https://vncooking.com/cong-thuc/banh-su-mini-sieu-de-beo-ngay-bat-ngo-552,Bánh và bánh ngọt,"Bánh su mini siêu dễ, béo ngậy bất ngờ","Bánh su kem sở hữu hương vị thơm ngon, béo ngậy không ai có thể chối từ.",,30phút,3,,5,"['Bột mì 90 gam', 'Bột bắp 20 gam', 'Trứng gà 3 quả', 'Sữa tươi 320 ml', 'Bơ lạt 77 gam']","['Bước 1: Làm nhân bánh Đầu tiên, bạn hãy cho vào tô 2 lòng đỏ trứng, 35g đường, 20g bột bắp, trộn thật đều cho hỗn hợp hòa quyện với nhau. Kế đến, bạn đun 235g sữa tươi cho ấm (không để quá nóng nhé), sau đó cho vào hỗn hợp bột trứng lúc nãy. Vừa rót sữa, vừa đánh đều tay cho bột tan đều vào sữa. Bắc hỗ hợp này lên bếp, đun lửa vừa, khuấy liên tục đến khi nào phần nhân này sánh lại và dẻo mịn. Cho thêm 12g bơ lạt, đảo đều cho bơ tan chảo rồi tắt bếp. Cho phần nhân vào một cái tô, để nguội, bọc một lớp màng bọc thực phẩm phía trên và cho vào ngăn mát tủ lạnh.', 'Bước 2: Làm bột bánh Sau khi đã xong phần nhân bánh, bạn hãy làm tiếp phần bột bánh. Cho 90g bột mì và 1 xíu muối vào nồi, cho thêm 65g bơ nhạt, 85g sữa tươi và 85g nước lọc, trộn đều. Cho phần bột này lên bếp, đun lửa nhỏ và đảo đều đến khi bột dẻo mịn, sánh lại như hình thì tắt bếp. Đánh 2 quả trứng gà cho tan và cho từ từ vào hỗn hợp bột đến khi bột chảy như hình.', 'Bước 3: Nướng bánh Cho bột đã trộn vào túi bắt kem, bắt bánh thành hình xoắn ốc lên giấy nến. Chấm một chút nước lên đầu bột để tạo hình và giúp bột nở đều. Làm nóng lò và nướng bánh trong 190 độ trong vòng 20 phút là bánh chín. Lấy bánh ra để nguội.', 'Bước 4: Thành phẩm Vậy là bạn đã làm xong phần nhân và phần bánh su. Việc của bạn là tiếp theo là dùng dao tạo một lỗ dưới đáy bánh, cho nhân vào giữa bánh là hoàn thành.', 'Bước 5: Thưởng thức Vậy là món bánh su kem mini của bạn đã hoàn thành rồi đấy. Bạn có thể để bánh trong ngăn mát tủ lạnh khoảng 2 tiếng để bánh lạnh, ăn sẽ ngon hơn. Bánh có lớp vỏ xốp mềm, thơm lừng mùi bơ, nhân bánh mềm mịn, béo ngậy, thơm vị trứng và mát lạnh rất ngon. Thưởng thức ngay bạn nhé!']",[],"Thứ sáu, 29/9/2023, 23:24 (GMT+7)"
https://vncooking.com/cong-thuc/trung-luoc-7-sao-dubai-doc-la-trung-beo-thom-dam-da-551,Nhanh và dễ,"Trứng luộc 7 sao Dubai độc lạ, trứng béo thơm, đậm đà",nghe bảo món trứng này thường được phục vụ trong các nhà hàng 7 sao ở Dubai.,,30phút,2,,4,"['Trứng gà 3 quả', 'Hành tím 1 củ', 'Ớt 1 trái', 'Nước tương 1 chai']","['Bước 1: Luộc trứng Đầu tiên, bạn hãy bắc nồi lên bếp, cho nước vào và bật lửa. Khi nước hơi ấm, cho trứng vào và khuấy nhẹ để giúp cho lòng đỏ trứng nằm ngay giữa. Luộc trứng trong khoảng 5 - 6 phút thì lấy ra. Cho trứng vào ngay trong nước đá để trứng mau nguội và không chín tiếp. Sau đó, bạn hãy bóc sạch vỏ trứng.', 'Bước 2: Ngâm trứng Bạn hãy cắt nhỏ ớt và băm nhỏ hành tím. Cho hành và ớt vào chén, thêm nước tương và 1 lon Coca Cola vào, khuấy đều. Cho trứng đã bóc vỏ vào ngâm, để ngăn mát tủ lạnh khoảng 4 tiếng.', 'Bước 3: Thành phẩm Sau 4 tiếng thì món trứng của bạn đã hoàn thành rồi. Phần vỏ trứng ngấm nước sốt nên có màu nâu rất bắt mắt. Bạn hãy thưởng thức trứng với cơm hoặc mì nhé! Chắc chắn bạn sẽ thấy sự đặc biệt của món ăn này.']",[],"Thứ năm, 28/9/2023, 19:20 (GMT+7)"
https://vncooking.com/cong-thuc/goi-tom-rau-nhut-gion-thom-chua-ngot-hai-hoa-550,Nhanh và dễ,"Gỏi tôm rau nhút giòn thơm, chua ngọt hài hòa","món gỏi tôm rau nhút lạ miệng, chua ngọt, giòn thơm để dành làm món khai vị cho bữa ăn thêm hấp dẫn nhé!",,30phút,2,,5,"['tôm sú 1 kg', 'rau nhút 1 bó', 'Lá quế 1 bó', 'Đậu phộng 2 muỗng canh', 'Hành phi 1 muỗng canh']","['Bước 1: Sơ chế rau nhút Rau nhút bạn mua về tuốt bỏ phần phao trắng, nhặt thành khúc ngắn vừa ăn, lấy luôn cả phần lá. Tiếp đến bạn đem rửa sạch phần rau nhút đã nhặt với nước muối, rửa qua 3 lần sau đó vớt lên để ráo. Phần thân to, bạn dùng dao chẻ đôi để khi trộn rau nhút dễ thấm gia vị hơn. Bạn bắc lên bếp 1 chảo nước, 1 muỗng cà phê muối, nấu đến khi nước sôi. Trong thời gian đợi nước sôi thì bạn chuẩn bị 1 thau đá lạnh. Bạn cho phần rau nhút vào chần sơ khoảng 2 phút, sau đó bạn vớt ra thau đá. Cho phần rau ngập trong nước đá và ngâm trong 15 phút để rau giòn hơn rồi vớt ra để ráo.', 'Bước 2: Sơ chế các nguyên liệu khác Hành tím bạn lột vỏ, sau đó thái mỏng, bắc chảo lên bếp cho dầu ăn vào phi vàng sau đó vớt ra chén để ráo dầu. Bạn cho 2 muỗng canh đậu phộng vào chảo cùng 1 muỗng canh muối để rang cho đậu chín, để khi vỏ đậu chuyển màu khoảng 10 phút thì tắt bếp, vớt ra, để nguội, đãi vỏ. Bạn lấy 1 trái chanh cắt bỏ hạt, vắt lấy nước. Lá quế bạn nhặt lá, rửa sạch sau đó thái đôi.', 'Bước 3: Làm sốt trộn gỏi Bạn cho vào cối 1 muỗng canh đường, 1/2 muỗng cà phê bột ngọt, 4 trái ớt, 3 tép tỏi, sau đó giã nhuyễn hỗn hợp. Tiếp đến bạn cho vào 2.5 muỗng canh nước mắm, nửa trái chanh vắt lấy nước và khuấy đều.', 'Bước 4: Trộn gỏi Bạn cho rau nhút ra thau, 1/2 muỗng cà phê muối, 1/2 muỗng cà phê bột ngọt, 1 muỗng cà phê đường sau đó trộn đều lên. Bạn cho vào 3 muỗng canh nước gỏi đã pha, nước cốt chanh, sau đó trộn đều. Tiếp theo bạn cho tôm, hành phi, rau thơm vào lần lượt và tiếp tục trộn đều. Bạn bày gỏi ra đĩa, rắc thêm một ít đậu phộng rang, vài lát ớt là hoàn thành.', 'Bước 5: Thành phẩm Gỏi tôm rau nhút sau khi hoàn thành rất đẹp mắt của màu xanh tươi mát của rau nhút, tôm đỏ cam nổi bật, ăn một miếng thấy giòn thơm, vị chua ngọt dễ ăn, vô cùng bắt miệng.']",[],"Thứ tư, 27/9/2023, 19:06 (GMT+7)"
